teste,posicao_erro_start,posicao_erro_end,tamanho_erro,padrao_erro,erro_detectado_manual,erro_detectado_biblioteca,falha_na_deteccao
1,211,217,6,111111,True,True,False
2,109,164,55,1111111111111111111111111111111111111111111111111111111,True,True,False
3,1,135,134,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True,True,False
4,60,215,155,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True,True,False
5,51,205,154,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True,True,False
6,42,126,84,111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True,True,False
7,115,172,57,111111111111111111111111111111111111111111111111111111111,True,True,False
8,48,147,99,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,True,True,False
9,211,234,23,11111111111111111111111,True,True,False
10,215,242,27,111111111111111111111111111,True,True,False
1,156,173,17,11010000111101101,True,True,False
2,37,71,34,0011111111000111010000011101100111,True,True,False
3,132,183,51,110101110010001101110110100000000100001001010110011,True,True,False
4,98,166,68,01000110101110010001001101010111010100100001110011111001011011011110,True,True,False
5,116,201,85,1101010100010001010011001101000001001011110100011100101100011001100010110010000011000,True,True,False
6,46,148,102,100110011010011000001100100001001001100111110101000111011100100110011001001111111101000000011101110111,True,True,False
7,47,64,17,10001000000100001,True,False,True
8,99,235,136,0101110000011011000101000111101011001110110011110000001100000011111011101100101100001000111010110000001111101000000110111101010010100000,True,True,False
9,74,227,153,000000111000010110111110000001100101000100111111100110000010010111000000111101010000011011110111101011101111110110001111010000011011100111001000011011011,True,True,False
10,36,206,170,00100000100100001111001000111101111001101011010001110001111001010000000110000101000010111011000111011100100001110110000011111010100110111001100011010101100111101111000001,True,True,False
